## Rubric for Evaluating LLM Reasoning Abilities

**General Scoring Scale (applied to each prompt):**

* **3 points: Excellent:**  The response is completely correct, logically sound, and clearly articulated. It demonstrates a strong understanding of the reasoning type and provides a comprehensive and accurate answer.
* **2 points: Good:** The response is mostly correct and demonstrates a good understanding of the reasoning type. There might be minor flaws in logic, clarity, or completeness, but the core of the answer is accurate.
* **1 point: Fair:** The response is partially correct or relevant to the prompt, but contains significant flaws in logic, accuracy, or completeness. It shows a limited understanding of the reasoning type.
* **0 points: Poor:** The response is incorrect, irrelevant, or nonsensical. It demonstrates a lack of understanding of the reasoning type.

**Detailed Rubric by Reasoning Type:**

**1. Logical Deduction and Inference:**

| Prompt                                                                                   | Criteria for 3 points                                                                                                                                                                                             | Criteria for 2 points                                                                                                                                                                                              | Criteria for 1 point                                                                                                                                                                                               | Criteria for 0 points                                                                                                                                                                                                |
| Order these historical events chronologically: The invention of the printing press, the discovery of penicillin, the fall of the Roman Empire. | Correctly orders them: Fall of Roman Empire, Invention of Printing Press, Discovery of Penicillin. Demonstrates accurate historical knowledge of relative event times.                                                                                             | Orders them with one adjacent pair swapped (e.g., Fall of Roman Empire, Discovery of Penicillin, Invention of Printing Press). Demonstrates mostly correct historical knowledge but minor ordering error.                                                                   | Orders them with significant errors, getting the relative order of distant events wrong (e.g., Invention of Printing Press, Fall of Roman Empire, Discovery of Penicillin). Shows significant gaps in historical knowledge or temporal ordering.                                  | Orders them in a completely reversed or nonsensical order, or provides irrelevant responses (e.g., "Apple, Banana, Orange"). Demonstrates a lack of historical knowledge and temporal ordering ability.                                                                |
| If today is Tuesday, what day will it be in three days?                  | Correctly answers "Friday" and demonstrates accurate day-of-the-week calculation.                                                                                                                                                               | Answers "Friday" but explanation is unclear or missing, but the answer is still correct.                                                                                                                                                                              | Answers incorrectly with a day close to Friday in the week (e.g., "Thursday," "Saturday"). Shows some understanding of days of the week but minor calculation error.                                                                                              | Answers incorrectly with a day far from Friday or a nonsensical answer (e.g., "Monday," "Tree," "Purple"). Demonstrates a lack of understanding of days of the week.                                                                                                 |
| How many months are there in a year?                                     | Correctly answers "12" and demonstrates basic knowledge of calendar units.                                                                                                                                                                    | Answers "12" but explanation is unclear or missing, but the answer is still correct.                                                                                                                                                                              | Answers incorrectly with a number close to 12 (e.g., "11," "13"). Minor factual error about months in a year.                                                                                                                                              | Answers incorrectly with a very wrong number or nonsensical answer (e.g., "50," "Zero," "January"). Demonstrates a lack of basic calendar knowledge.                                                                                                                  |

**9. Moral Reasoning:**

| Prompt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | Criteria for 3 points                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | Criteria for 2 points                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | Criteria for 1 point                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | Criteria for 0 points                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Is it ever acceptable to break a promise? Under what circumstances?                                                                                                                                                                                                                                                                                                                                                                                                                                                     | Answers "Yes" and provides nuanced and ethically justifiable circumstances where breaking a promise might be acceptable (e.g., to prevent harm, protect someone, due to unforeseen extreme circumstances). Demonstrates understanding of moral complexities, duty, and ethical exceptions.                                                                                                                                                                                                                                                                                                                           | Answers "Yes" and provides some justifiable circumstances, but might be less nuanced or less ethically sophisticated in reasoning (e.g., "if you can't keep it," "if something better comes up"). Still acknowledges exceptions but reasoning may be simpler.                                                                                                                                                                                                                                                                                                                                                           | Answers "Yes" but provides weak or less ethically justifiable reasons (e.g., "if you feel like it," "if it's inconvenient"). Shows a limited understanding of ethical considerations or justifications for breaking promises. Or answers "No" but without acknowledging any possible exceptions, demonstrating a rigid or simplistic moral view.                                                                                                                                                                                                                                                                                 | Answers "No" without any qualification and in a way that is absolute and unrealistic, failing to acknowledge any possible exceptions. Or provides nonsensical or unethical justifications for breaking promises (e.g., "because promises are meant to be broken," "to be mean"). Demonstrates a lack of moral reasoning or understanding of promise-keeping.                                                                                                                                                                                                                                                        |
| Is it morally right to prioritize the needs of the majority over the needs of a minority?                                                                                                                                                                                                                                                                                                                                                                                                                               | Provides a nuanced answer acknowledging the complexity of the issue.  Likely answers "Sometimes" or "It depends" and explores the ethical tensions between utilitarianism and minority rights, potentially mentioning concepts like justice, fairness, and potential harm to minorities if their needs are consistently disregarded. Demonstrates sophisticated moral reasoning and understanding of ethical dilemmas.                                                                                                                                                                                                                                                                                       | Provides an answer leaning towards prioritizing the majority but with some acknowledgement of minority needs or concerns (e.g., "Generally yes, but minorities should still be considered," "Mostly yes, but not if it harms minorities too much"). Shows some awareness of the ethical tension but might lean towards a more utilitarian perspective without fully exploring minority rights.                                                                                                                                                                                                                                                        | Provides a simplistic answer favoring majority needs without sufficient consideration for minority rights or potential harm (e.g., "Yes, always," "Majority rules"). Or answers "No" but without nuanced justification, simply stating minority needs are always paramount, neglecting the concept of common good. Demonstrates limited moral complexity or a one-sided perspective.                                                                                                                                                                                                                                                           | Provides a rigid, extreme, or nonsensical answer (e.g., "Always prioritize the majority no matter what," "Minorities don't matter," "Prioritize whoever is loudest"). Demonstrates a lack of moral reasoning, disregard for ethical principles, or a failure to understand the complexities of balancing majority and minority needs.                                                                                                                                                                                                                                                        |
| Should a self-driving car be programmed to prioritize the safety of its passengers or pedestrians in an unavoidable accident?                                                                                                                                                                                                                                                                                                                                                                                        | Explores the ethical dilemma thoughtfully, acknowledging the competing values and lack of easy answers. May discuss different ethical frameworks (utilitarianism, deontology, etc.), the "trolley problem" analogy, and the complexities of programming moral decisions into machines.  May not offer a definitive "right" answer but demonstrates sophisticated ethical analysis of the scenario.                                                                                                                                                                                                                                                        | Offers a reasoned perspective favoring either passengers or pedestrians but acknowledges the ethical trade-offs and complexities. Might lean towards one side but recognize the validity of the opposing viewpoint.  Demonstrates some ethical reasoning and awareness of the dilemma.                                                                                                                                                                                                                                                         | Provides a simplistic answer strongly favoring either passengers or pedestrians without fully acknowledging the ethical dilemma or complexities (e.g., "Always protect passengers," "Pedestrians are more important"). Shows a limited understanding of the ethical trade-offs or a one-sided perspective. Or offers a confused or unclear stance.                                                                                                                                                                                                                                                             | Provides a rigid, extreme, or nonsensical answer (e.g., "Cars should kill everyone," "Programmed to be selfish," "Random choice"). Demonstrates a lack of moral reasoning, disregard for ethical principles, or a failure to understand the ethical dimensions of the self-driving car dilemma.                                                                                                                                                                                                                                                        |
| Is it ethical to use artificial intelligence to create deepfakes?                                                                                                                                                                                                                                                                                                                                                                                                                                                   | Answers "Generally No" or "It's ethically problematic" and explains the potential for misuse and harm: misinformation, manipulation, reputational damage, erosion of trust, etc. Demonstrates understanding of the ethical risks and potential negative societal impacts of deepfakes.                                                                                                                                                                                                                                                                                                                         | Answers with caution or ambivalence, acknowledging both potential positive and negative uses of deepfakes but emphasizing the ethical concerns and potential for misuse outweighs benefits in most cases. Demonstrates some awareness of both sides but leans towards ethical caution.                                                                                                                                                                                                                                                                                                                           | Answers with a more neutral or permissive stance, suggesting deepfakes are ethically acceptable in some contexts or focusing on potential positive uses (e.g., entertainment, art) without sufficiently addressing the ethical risks and potential for harm. Minimizes or overlooks ethical concerns. Or provides a confused or unclear stance.                                                                                                                                                                                                                                                                | Answers "Yes, it's ethical" without qualification or consideration of negative consequences, or actively endorses deepfakes without ethical justification. Or provides nonsensical or unethical justifications for deepfakes (e.g., "it's just for fun," "it doesn't hurt anyone"). Demonstrates a lack of ethical reasoning, disregard for potential harm, or a failure to understand the ethical implications of deepfakes.                                                                                                                                                                                          |
| Is it justifiable to lie to protect someone's feelings?                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Answers "Sometimes" or "It depends" and provides nuanced and ethically justifiable circumstances for "white lies" or benevolent deception (e.g., to avoid unnecessary hurt feelings in minor situations, to be polite, to maintain social harmony). Acknowledges the ethical tension between honesty and kindness and justifies exceptions in specific contexts. | Answers "Yes" but with some qualifications or limitations, acknowledging it's sometimes okay to lie for feelings but not in all situations or for major issues. Demonstrates some awareness of the ethical nuances and limitations of lying even for good intentions.                                                                                                                                                                                                                                                                                                                         | Answers "Yes" with broad or weak justifications, suggesting lying for feelings is generally acceptable without sufficient consideration of potential negative consequences or erosion of trust (e.g., "It's always better to be nice," "Feelings are more important than truth"). Minimizes or overlooks the ethical value of honesty. Or answers "No" rigidly without acknowledging any possible exceptions for minor social situations.                                                                                                                                                                                                                                                            | Answers "No, never lie" in an absolute and inflexible way, failing to acknowledge any possible exceptions for benevolent deception in minor social situations. Or provides nonsensical or unethical justifications for lying or honesty (or dishonesty). Demonstrates a lack of nuanced moral reasoning or understanding of social dynamics and the complexities of truth-telling.                                                                                                                                                                                                                                                        |

**10. Theory of Mind:**

| Prompt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | Criteria for 3 points                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | Criteria for 2 points                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | Criteria for 1 point                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | Criteria for 0 points                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| John is looking for his keys. He thinks they are in the kitchen, but they are actually in the living room. Where will John look for his keys?                                                                                                                                                                                                                                                                                                                                                                                    | Correctly answers "kitchen" and explains that John will look where he *thinks* they are, not where they actually are. Demonstrates understanding that beliefs can differ from reality and people act on their beliefs. Shows clear theory of mind.                                                                                                                                                                                                                                                                                                                                                                          | Answers "kitchen" but explanation is unclear or incomplete, or simply restates the prompt without explicitly explaining the belief-reality distinction. Still gets the correct answer based on theory of mind.                                                                                                                                                                                                                                                                                                                                                                           | Answers incorrectly, suggesting John will look in the living room because that's where they *actually* are, or provides a confused or irrelevant answer. Demonstrates a lack of understanding that John will act based on his belief, not objective reality.                                                                                                                                                                                                                                                                                                                                                       | Answers incorrectly with a nonsensical location or response (e.g., "the moon," "banana," "he won't look"). Demonstrates a complete lack of understanding of the scenario and theory of mind concept.                                                                                                                                                                                                                                                                                                                                                                                                                    |
| Sarah sees Tom hide a cookie under a cup. Then Tom leaves. While Tom is gone, Sarah moves the cookie to a box. When Tom returns, where will Tom look for the cookie?                                                                                                                                                                                                                                                                                                                                                          | Correctly answers "under the cup" and explains that Tom will look where he *believes* he hid it, not where Sarah moved it. Demonstrates understanding of false belief and perspective-taking. Shows clear theory of mind in a false-belief scenario.                                                                                                                                                                                                                                                                                                                                                                     | Answers "under the cup" but explanation is unclear or incomplete, or simply restates the prompt without explicitly explaining the false-belief concept. Still gets the correct answer based on theory of mind.                                                                                                                                                                                                                                                                                                                                                                           | Answers incorrectly, suggesting Tom will look in the box because that's where the cookie *actually* is, or provides a confused or irrelevant answer. Demonstrates a lack of understanding that Tom will act on his outdated belief, not the current reality that Sarah knows.                                                                                                                                                                                                                                                                                                                                   | Answers incorrectly with a nonsensical location or response (e.g., "the sky," "invisible," "Tom won't care"). Demonstrates a complete lack of understanding of the scenario and false-belief concept.                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Alice tells Bob that she is going to the park. Bob sees Alice go to the library instead. Where does Bob think Alice went?                                                                                                                                                                                                                                                                                                                                                                                                      | Correctly answers "the park" and explains that Bob will think Alice went where she *said* she was going, regardless of where she actually went. Demonstrates understanding of belief based on stated intention, even when contradicted by observation. Shows theory of mind related to communication and belief formation.                                                                                                                                                                                                                                                                                        | Answers "the park" but explanation is unclear or incomplete, or focuses only on what Alice said without fully explaining Bob's belief formation process. Still gets the correct answer based on theory of mind.                                                                                                                                                                                                                                                                                                                                                                           | Answers incorrectly, suggesting Bob will think Alice went to the library because that's where he *saw* her go, or provides a confused or irrelevant answer. Demonstrates a lack of understanding that Bob's belief will be based on Alice's statement, not necessarily his direct observation of her actions if they contradict the statement.                                                                                                                                                                                                                                                                              | Answers incorrectly with a nonsensical location or response (e.g., "Mars," "sandwich," "Bob doesn't think"). Demonstrates a complete lack of understanding of the scenario and theory of mind related to belief attribution based on communication.                                                                                                                                                                                                                                                                                                                                                      |
| Mary is sad because her favorite toy is broken. John knows that Mary is sad, but he doesn't know why. Does John understand Mary's emotional state fully?                                                                                                                                                                                                                                                                                                                                                                        | Correctly answers "No" and explains that while John recognizes Mary's emotion (sadness), he doesn't understand the *reason* for her sadness (broken toy). Demonstrates understanding that full emotional understanding requires knowing both the emotion and its cause. Shows nuanced theory of mind about emotional states.                                                                                                                                                                                                                                                                                             | Answers "No" but explanation is unclear or incomplete, or simply states John doesn't know the reason without fully articulating why this means his understanding is *not full*. Still gets the correct answer based on theory of mind.                                                                                                                                                                                                                                                                                                                                                                           | Answers incorrectly, suggesting "Yes" or "Partially" and implying John *does* fully or partially understand Mary's emotional state even without knowing the cause, or provides a confused or irrelevant answer. Demonstrates a lack of understanding that full emotional understanding requires comprehending the underlying reason for the emotion.                                                                                                                                                                                                                                                          | Answers incorrectly with a nonsensical answer (e.g., "Maybe," "Green," "Toys are fun"). Demonstrates a complete lack of understanding of the scenario and theory of mind related to emotional understanding and causality.                                                                                                                                                                                                                                                                                                                                                                                                   |
| Imagine you are talking to someone who is colorblind. How would you describe the color red to them without using other color names?                                                                                                                                                                                                                                                                                                                                                                                           | Provides a description of red based on non-color sensory experiences or analogies, such as "the color of fire," "the color of blood," "a warm color," "a vibrant, intense color," "the color of ripe strawberries," or relating it to sensations like warmth or spiciness. Demonstrates understanding of colorblindness and the need to use alternative sensory descriptions. Shows sophisticated theory of mind and perspective-taking regarding sensory experience. | Provides a description using some non-color analogies but might still inadvertently use color-related terms or analogies that are not fully accessible to someone colorblind, or the analogies are less effective or clear. Demonstrates some effort at perspective-taking but might not fully grasp the challenge of describing color without color references.                                                                                                                                                                                                                                                        | Provides a description that relies heavily on other color names (e.g., "It's like orange but more... red," "It's not blue or green"), or provides very vague or unhelpful descriptions (e.g., "It's just red," "It's a color you can't see"). Demonstrates a limited understanding of colorblindness and the challenge of describing color without color references. | Provides a nonsensical description or response that completely fails to address the prompt or demonstrates a lack of understanding of colorblindness (e.g., "It's invisible," "It's blue," "Just show them red"). Demonstrates a complete lack of perspective-taking or understanding of the sensory limitations of colorblindness.                                                                                                                                                                                                                                                                |

3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
